Date Time,p (mbar),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),wd (deg),SWDR (W/m?,PAR (µmol/m?s),Tlog (degC),T (degC)
01.01.2021 00:10:00,978.24,-0.82,81.4,7.06,5.75,1.31,3.66,5.88,1235.72,1.02,1.63,210.3,0,0,13.48,2.01
01.01.2021 00:20:00,978.24,-0.79,81.9,7.04,5.77,1.27,3.67,5.89,1235.93,1.56,2.37,199.3,0,0,13.44,1.96
01.01.2021 00:30:00,978.26,-0.77,82.5,7,5.77,1.22,3.68,5.9,1236.34,2.08,2.75,207.8,0,0,13.39,1.88
01.01.2021 00:40:00,978.25,-0.71,83.5,6.95,5.8,1.15,3.7,5.93,1236.77,2.63,3.31,206,0,0,13.32,1.78
01.01.2021 00:50:00,978.26,-0.44,86.1,6.87,5.91,0.95,3.77,6.04,1237.43,2.16,3.28,192.9,0,0,13.22,1.62
01.01.2021 01:00:00,978.25,-0.21,88.7,6.78,6.01,0.77,3.83,6.15,1238.19,1.69,2.62,188.4,0,0,13.1,1.44
01.01.2021 01:10:00,978.24,-0.08,90.6,6.7,6.07,0.63,3.87,6.21,1238.87,0.91,1.61,185.9,0,0,12.99,1.28
01.01.2021 01:20:00,978.25,0.08,92,6.68,6.15,0.53,3.92,6.28,1239.05,0.59,1.27,171.4,0,0,12.91,1.23
01.01.2021 01:30:00,978.26,0.23,93.8,6.62,6.21,0.41,3.96,6.35,1239.6,1.1,1.86,134.7,0,0,12.87,1.11
01.01.2021 01:40:00,978.27,0.41,97.2,6.48,6.29,0.18,4.01,6.43,1240.94,1.47,2.4,165.4,0,0,12.85,0.81
01.01.2021 01:50:00,978.29,0.52,99.7,6.36,6.35,0.02,4.04,6.49,1242.03,1.22,2.03,177.1,0,0,12.81,0.57
01.01.2021 02:00:00,978.33,0.41,100,6.29,6.29,0,4.01,6.43,1242.82,0.48,0.99,182.6,0,0,12.75,0.41
01.01.2021 02:10:00,978.35,0.34,100,6.26,6.26,0,3.99,6.4,1243.18,0.67,1.3,175.3,0,0,12.67,0.34
01.01.2021 02:20:00,978.41,0.26,100,6.22,6.22,0,3.97,6.36,1243.63,0.54,0.97,172.8,0.01,0,12.61,0.26
