time,dataset,model,seq_len,pred_len,mse,mae
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2024-05-05 12:09:32,ETTh1,iTransformer,720,96,0.4156,0.4709
2024-05-05 12:09:49,ETTh1,iTransformer,720,192,0.4725,0.5051
2024-05-05 12:10:08,ETTh1,iTransformer,720,336,0.5889,0.5725
2024-05-05 12:10:22,ETTh1,iTransformer,720,720,0.6667,0.6203
2024-05-05 12:10:37,ETTh2,iTransformer,720,96,0.1707,0.2958
2024-05-05 12:10:51,ETTh2,iTransformer,720,192,0.2078,0.3272
2024-05-05 12:11:05,ETTh2,iTransformer,720,336,0.2428,0.3546
2024-05-05 12:11:18,ETTh2,iTransformer,720,720,0.3701,0.444
2024-05-05 12:12:19,ETTm1,iTransformer,720,96,0.3101,0.3825
2024-05-05 12:13:21,ETTm1,iTransformer,720,192,0.3561,0.4133
2024-05-05 12:14:27,ETTm1,iTransformer,720,336,0.4035,0.4476
2024-05-05 12:15:33,ETTm1,iTransformer,720,720,0.4765,0.4967
2024-05-05 12:16:40,ETTm2,iTransformer,720,96,0.1154,0.2309
2024-05-05 12:17:39,ETTm2,iTransformer,720,192,0.1411,0.2558
2024-05-05 12:18:40,ETTm2,iTransformer,720,336,0.1711,0.2809
2024-05-05 12:19:40,ETTm2,iTransformer,720,720,0.2133,0.3195
